response_id,submission_date,age,gender,department,region,tenure_months,engagement_score,nps_score,satisfaction_rating,effort_score,open_feedback
RESP-10020,2026-08-25 15:18:07.906048,18.0,Female,Customer Support,North America,9,4.9,6,3.0,4,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10021,2026-09-16 02:52:07.906048,39.0,Male,Engineering,EMEA,5,6.9,9,,3,The software platform is exceptionally intuitive and saves our team hours. You can reach my direct desk at +1-555-01121 to discuss.
RESP-10022,2026-07-11 20:23:07.906048,26.0,Male,Sales,EMEA,38,7.3,7,5.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10023,2026-06-29 08:59:07.906048,37.0,Female,Sales,North America,75,5.5,5,3.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10024,2026-07-14 14:44:07.906048,49.0,Female,Sales,North America,13,3.3,2,2.0,6,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10025,2026-07-01 23:57:07.906048,26.0,Female,Marketing,North America,74,6.4,7,5.0,2,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10026,2026-07-06 05:07:07.906048,46.0,Male,Engineering,LATAM,42,5.4,3,3.0,4,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10027,2026-07-21 00:16:07.906048,31.0,Female,Customer Support,EMEA,16,8.8,10,5.0,3,Great UI and clean design. Very satisfied with recent feature releases.
RESP-10028,2026-07-28 04:48:07.906048,,Male,Customer Support,EMEA,27,4.1,5,3.0,5,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10029,2026-09-10 06:37:07.906048,32.0,Female,Engineering,EMEA,14,7.5,8,4.0,4,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10030,2026-07-08 13:06:07.906048,27.0,Male,Customer Support,North America,20,5.9,6,4.0,3,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10031,2026-09-16 09:34:07.906048,42.0,Female,Engineering,EMEA,2,7.3,10,5.0,2,"Fast performance, excellent reliability, and helpful documentation."
RESP-10032,2026-09-01 20:30:07.906048,31.0,Male,Engineering,APAC,29,7.3,9,5.0,3,Our account manager is fantastic. Keep up the great work!
RESP-10033,2026-09-08 06:33:07.906048,27.0,Female,Product,North America,2,7.9,7,4.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10034,2026-09-12 14:10:07.906048,31.0,Male,Product,North America,41,9.6,9,5.0,2,The software platform is exceptionally intuitive and saves our team hours.
RESP-10035,2026-08-27 17:35:07.906048,35.0,Female,Marketing,North America,42,7.7,6,4.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10036,2026-08-30 22:20:07.906048,49.0,Male,Sales,EMEA,7,8.2,9,4.0,2,"Fast performance, excellent reliability, and helpful documentation."
RESP-10037,2026-07-30 08:16:07.906048,18.0,Male,Engineering,LATAM,10,6.1,5,2.0,6,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10038,2026-08-05 21:09:07.906048,36.0,Female,Customer Support,North America,16,6.0,8,3.0,4,The interface is standard. A few bugs here and there.
RESP-10039,2026-09-12 20:45:07.906048,42.0,Male,Sales,EMEA,22,6.2,8,4.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10040,2026-07-24 23:36:07.906048,37.0,Male,Engineering,North America,9,8.2,7,4.0,5,"Support is fine, but response times could be improved."
RESP-10041,2026-06-24 17:11:07.906048,,Female,Sales,LATAM,22,8.1,8,5.0,1,"Support is fine, but response times could be improved."
RESP-10042,2026-08-28 14:07:07.906048,35.0,Female,Engineering,North America,9,7.4,7,4.0,4,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10043,2026-08-11 12:36:07.906048,34.0,Female,Product,EMEA,2,6.7,8,5.0,2,The interface is standard. A few bugs here and there.
RESP-10044,2026-09-02 06:42:07.906048,41.0,Male,Sales,APAC,1,6.8,9,5.0,2,Our account manager is fantastic. Keep up the great work!
RESP-10045,2026-06-27 17:46:07.906048,,Male,Customer Support,APAC,3,2.8,0,2.0,4,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10046,2026-08-15 20:26:07.906048,32.0,Female,Sales,EMEA,38,5.6,5,3.0,5,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10047,2026-07-13 05:37:07.906048,41.0,Male,Customer Support,North America,79,5.3,5,4.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10048,2026-09-10 05:38:07.906048,29.0,Male,Customer Support,North America,14,4.1,2,2.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10049,2026-06-30 19:59:07.906048,29.0,Male,Engineering,North America,18,9.3,9,5.0,2,The software platform is exceptionally intuitive and saves our team hours.
RESP-10050,2026-09-04 19:36:07.906048,30.0,Male,Product,North America,4,5.7,6,4.0,3,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10051,2026-06-28 21:51:07.906048,49.0,Non-Binary,Marketing,EMEA,20,6.3,6,4.0,4,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10052,2026-06-23 04:47:07.906048,18.0,Male,Product,North America,4,7.7,5,2.0,6,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10053,2026-07-12 02:18:07.906048,39.0,Female,Product,North America,23,9.3,10,5.0,2,"Fast performance, excellent reliability, and helpful documentation."
RESP-10054,2026-07-20 21:57:07.906048,36.0,Male,Customer Support,EMEA,65,5.5,6,3.0,5,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10055,2026-08-16 07:53:07.906048,19.0,Male,Product,LATAM,6,8.7,9,4.0,5,The software platform is exceptionally intuitive and saves our team hours.
RESP-10056,2026-07-02 19:06:07.906048,39.0,Female,Engineering,EMEA,35,8.8,7,3.0,5,"The application works fine, but performance slows down occasionally during peak hours."
RESP-10057,2026-07-30 07:12:07.906048,40.0,Male,Engineering,North America,1,7.9,8,4.0,2,The interface is standard. A few bugs here and there.
RESP-10058,2026-07-09 07:47:07.906048,41.0,Male,Engineering,North America,12,6.1,6,3.0,4,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10059,2026-09-05 22:02:07.906048,18.0,Male,Sales,LATAM,3,3.8,1,1.0,6,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10060,2026-06-24 23:42:07.906048,49.0,Female,Sales,North America,11,6.2,5,2.0,5,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10061,2026-07-22 23:24:07.906048,28.0,Female,Sales,North America,5,5.2,6,4.0,4,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10062,2026-08-16 18:21:07.906048,42.0,Male,Marketing,EMEA,12,7.9,10,5.0,1,Customer support was very responsive and resolved my billing issue in 10 minutes.
RESP-10063,2026-09-11 02:51:07.906048,43.0,Male,Sales,EMEA,13,7.1,8,4.0,3,"The application works fine, but performance slows down occasionally during peak hours."
RESP-10064,2026-09-07 01:26:07.906048,27.0,Female,Sales,EMEA,9,5.7,7,5.0,1,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10065,2026-09-09 12:11:07.906048,42.0,Male,Customer Support,North America,26,3.8,4,3.0,5,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10066,2026-06-26 14:20:07.906048,32.0,Male,Engineering,North America,61,8.5,8,4.0,2,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10067,2026-09-04 14:58:07.906048,18.0,Female,Marketing,LATAM,13,5.0,7,3.0,4,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10068,2026-08-30 03:11:07.906048,47.0,Female,Engineering,North America,6,6.6,9,4.0,3,Our account manager is fantastic. Keep up the great work!
RESP-10069,2026-09-10 03:50:07.906048,28.0,Female,Product,EMEA,8,5.8,8,5.0,3,The interface is standard. A few bugs here and there.
RESP-10070,2026-07-18 23:35:07.906048,27.0,Non-Binary,Marketing,APAC,47,6.3,5,,3,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10071,2026-09-10 23:59:07.906048,31.0,Female,Engineering,EMEA,21,9.5,9,4.0,3,Great UI and clean design. Very satisfied with recent feature releases.
RESP-10072,2026-07-27 04:17:07.906048,38.0,Female,Engineering,North America,15,7.7,8,4.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10073,2026-08-17 00:14:07.906048,35.0,Female,Marketing,North America,4,5.8,5,3.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10074,2026-07-29 02:48:07.906048,41.0,Female,Marketing,EMEA,15,4.2,5,3.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10075,2026-07-29 10:18:07.906048,22.0,Female,Marketing,APAC,8,7.3,9,4.0,4,The software platform is exceptionally intuitive and saves our team hours.
RESP-10076,2026-08-09 03:19:07.906048,28.0,Female,Marketing,LATAM,69,5.3,7,4.0,4,The interface is standard. A few bugs here and there.
RESP-10077,2026-07-22 23:23:07.906048,34.0,Male,Engineering,North America,52,7.9,10,5.0,2,Customer support was very responsive and resolved my billing issue in 10 minutes.
RESP-10078,2026-08-31 06:53:07.906048,54.0,Male,Sales,North America,3,5.5,5,3.0,5,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10079,2026-08-16 23:14:07.906048,34.0,Female,Engineering,LATAM,18,9.0,7,4.0,3,The interface is standard. A few bugs here and there.
RESP-10080,2026-08-22 00:27:07.906048,46.0,Female,Product,APAC,7,7.1,8,4.0,4,"Support is fine, but response times could be improved."
RESP-10081,2026-07-11 17:37:07.906048,36.0,Non-Binary,Customer Support,APAC,13,5.4,8,5.0,1,The interface is standard. A few bugs here and there.
RESP-10082,2026-09-16 04:51:07.906048,31.0,Female,Sales,North America,51,6.7,6,4.0,2,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10083,2026-08-19 08:33:07.906048,33.0,Female,Engineering,EMEA,18,10.0,10,5.0,2,"Fast performance, excellent reliability, and helpful documentation."
RESP-10084,2026-07-08 16:31:07.906048,34.0,Female,Sales,APAC,10,7.3,8,4.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10085,2026-08-27 11:38:07.906048,42.0,Female,Sales,EMEA,6,5.9,6,4.0,4,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10086,2026-07-06 13:48:07.906048,49.0,Male,Marketing,EMEA,39,6.5,7,3.0,5,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10087,2026-06-26 15:29:07.906048,39.0,Female,Customer Support,North America,24,4.7,3,3.0,5,Terrible experience. Pricing increased without notice and the software is laggy. You can reach my direct desk at +1-555-01187 to discuss.
RESP-10088,2026-08-07 10:05:07.906048,47.0,Male,Product,EMEA,16,5.9,2,1.0,6,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10089,2026-08-09 18:11:07.906048,26.0,Female,Sales,North America,6,5.2,4,2.0,6,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10090,2026-07-07 22:44:07.906048,31.0,Female,Engineering,EMEA,10,6.5,6,4.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10091,2026-07-22 07:04:07.906048,28.0,Male,Marketing,LATAM,78,7.5,9,4.0,3,The software platform is exceptionally intuitive and saves our team hours.
RESP-10092,2026-09-14 01:26:07.906048,39.0,Female,Marketing,North America,18,4.9,5,2.0,5,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10093,2026-07-16 14:11:07.906048,32.0,Male,Customer Support,APAC,13,7.5,7,4.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10094,2026-07-04 22:36:07.906048,43.0,Female,Marketing,North America,18,7.6,6,2.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10095,2026-09-18 06:31:07.906048,26.0,Male,Sales,EMEA,37,6.0,7,3.0,4,The interface is standard. A few bugs here and there.
RESP-10096,2026-07-18 03:33:07.906048,36.0,Female,Customer Support,LATAM,10,5.5,8,5.0,3,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10097,2026-08-21 03:55:07.906048,42.0,Male,Sales,North America,5,5.2,7,4.0,4,"Support is fine, but response times could be improved."
RESP-10098,2026-07-11 18:45:07.906048,,Female,Engineering,North America,22,8.1,9,5.0,2,The software platform is exceptionally intuitive and saves our team hours.
RESP-10099,2026-08-09 10:50:07.906048,,Male,Engineering,EMEA,27,9.3,7,3.0,6,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10100,2026-07-25 16:57:07.906048,33.0,Female,Engineering,North America,30,6.6,6,3.0,4,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10101,2026-09-15 11:35:07.906048,18.0,Male,Customer Support,APAC,52,3.2,6,4.0,5,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10102,2026-07-29 21:26:07.906048,37.0,Female,Sales,LATAM,12,7.1,9,4.0,2,The software platform is exceptionally intuitive and saves our team hours. More details at https://internal-feedback-202.org/details.
RESP-10103,2026-08-12 12:23:07.906048,36.0,Male,Customer Support,EMEA,2,6.0,4,3.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10104,2026-09-13 23:16:07.906048,35.0,Female,Product,North America,77,5.6,6,4.0,3,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10105,2026-09-17 23:19:07.906048,45.0,Female,Engineering,EMEA,14,6.6,7,3.0,5,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10106,2026-06-30 02:09:07.906048,43.0,Male,Sales,APAC,24,4.7,4,3.0,4,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10107,2026-09-04 00:42:07.906048,38.0,Female,Marketing,North America,27,5.4,2,2.0,6,
RESP-10108,2026-07-25 07:57:07.906048,40.0,Female,Engineering,EMEA,19,7.2,7,3.0,5,The interface is standard. A few bugs here and there. Contact me at user208@example.com if you want more details.
RESP-10109,2026-08-13 11:24:07.906048,34.0,Non-Binary,Engineering,EMEA,6,7.3,6,2.0,6,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10110,2026-07-24 16:41:07.906048,,Non-Binary,Sales,EMEA,34,5.0,4,3.0,4,
RESP-10111,2026-07-27 00:59:07.906048,21.0,Female,Engineering,North America,40,6.6,6,5.0,2,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10112,2026-07-05 05:42:07.906048,37.0,Male,Product,APAC,20,7.0,7,4.0,2,"Support is fine, but response times could be improved."
RESP-10113,2026-08-11 11:45:07.906048,36.0,Male,Marketing,North America,17,6.8,7,5.0,1,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10114,2026-08-09 03:29:07.906048,44.0,Female,Customer Support,North America,3,5.0,4,2.0,5,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10115,2026-07-07 23:35:07.906048,27.0,Male,Product,APAC,3,9.0,9,5.0,3,"Fast performance, excellent reliability, and helpful documentation."
RESP-10116,2026-08-08 16:43:07.906048,18.0,Male,Marketing,APAC,10,7.3,5,4.0,3,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10117,2026-09-16 12:29:07.906048,37.0,Prefer not to say,Engineering,North America,9,5.3,6,3.0,5,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10118,2026-08-24 05:42:07.906048,38.0,Female,Product,North America,74,8.1,4,2.0,6,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10119,2026-08-03 05:30:07.906048,50.0,Male,Customer Support,North America,37,6.4,6,4.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10120,2026-09-11 09:19:07.906048,23.0,Female,Marketing,North America,26,5.8,7,5.0,2,The interface is standard. A few bugs here and there. More details at https://internal-feedback-220.org/details.
RESP-10121,2026-08-11 17:15:07.906048,47.0,Female,Product,North America,18,5.1,4,3.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10122,2026-07-03 02:17:07.906048,59.0,Female,Sales,North America,5,6.0,7,3.0,4,The interface is standard. A few bugs here and there.
RESP-10123,2026-08-09 05:12:07.906048,32.0,Prefer not to say,Engineering,EMEA,93,7.7,9,4.0,2,Our account manager is fantastic. Keep up the great work!
RESP-10124,2026-07-07 05:29:07.906048,23.0,Male,Engineering,APAC,12,6.0,1,3.0,6,Constant downtime and sync errors. Frustrating and unhelpful. You can reach my direct desk at +1-555-01224 to discuss.
RESP-10125,2026-08-29 00:23:07.906048,31.0,Male,Sales,EMEA,3,3.8,4,3.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10126,2026-09-15 23:40:07.906048,,Male,Marketing,EMEA,17,6.4,2,1.0,6,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10127,2026-07-23 09:57:07.906048,41.0,Female,Product,North America,50,7.0,7,3.0,3,The interface is standard. A few bugs here and there.
RESP-10128,2026-07-30 02:00:07.906048,30.0,Female,Engineering,LATAM,53,7.1,7,3.0,6,The interface is standard. A few bugs here and there. Contact me at user228@example.com if you want more details.
RESP-10129,2026-07-28 21:00:07.906048,51.0,Female,Customer Support,APAC,1,5.4,2,2.0,6,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10130,2026-07-16 14:49:07.906048,24.0,Female,Sales,APAC,53,4.3,7,4.0,2,The interface is standard. A few bugs here and there.
RESP-10131,2026-08-31 10:00:07.906048,18.0,Male,Engineering,APAC,8,7.0,7,4.0,3,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10132,2026-08-15 12:52:07.906048,47.0,Male,Engineering,LATAM,1,8.5,7,4.0,4,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10133,2026-06-26 16:56:07.906048,18.0,Female,Sales,EMEA,46,5.5,8,3.0,6,"Support is fine, but response times could be improved."
RESP-10134,2026-09-04 10:24:07.906048,33.0,Female,Product,North America,48,4.8,2,2.0,6,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10135,2026-07-07 18:41:07.906048,67.0,Female,Sales,EMEA,22,5.3,3,3.0,6,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive. Contact me at user235@example.com if you want more details.
RESP-10136,2026-09-17 01:32:07.906048,35.0,Female,Customer Support,APAC,21,3.9,0,1.0,7,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10137,2026-07-24 20:10:07.906048,24.0,Male,Marketing,APAC,41,6.9,10,5.0,1,Our account manager is fantastic. Keep up the great work!
RESP-10138,2026-08-15 10:06:07.906048,35.0,Male,Sales,EMEA,38,6.5,7,3.0,5,"Features are acceptable, but pricing seems a bit high for small teams."
RESP-10139,2026-06-27 22:40:07.906048,35.0,Male,Product,North America,53,4.8,6,4.0,3,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10140,2026-07-21 23:03:07.906048,37.0,Female,Product,North America,20,8.4,9,5.0,1,Customer support was very responsive and resolved my billing issue in 10 minutes.
RESP-10141,2026-09-01 03:40:07.906048,42.0,Female,Sales,LATAM,83,4.3,5,3.0,4,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10142,2026-08-02 21:21:07.906048,25.0,Female,Sales,EMEA,120,8.3,8,4.0,4,
RESP-10143,2026-09-10 08:31:07.906048,52.0,Male,Sales,EMEA,3,5.9,6,2.0,5,Constant downtime and sync errors. Frustrating and unhelpful. More details at https://internal-feedback-243.org/details.
RESP-10144,2026-08-11 16:52:07.906048,38.0,Male,Sales,North America,46,4.1,4,4.0,3,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10145,2026-09-12 12:17:07.906048,43.0,Female,Engineering,North America,17,6.0,5,3.0,5,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10146,2026-09-17 09:01:07.906048,29.0,Male,Customer Support,APAC,12,6.0,6,4.0,4,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10147,2026-07-31 18:59:07.906048,48.0,Male,Customer Support,EMEA,23,4.9,5,3.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10148,2026-08-10 19:19:07.906048,33.0,Male,Engineering,APAC,2,7.6,8,4.0,3,The interface is standard. A few bugs here and there.
RESP-10149,2026-09-04 02:00:07.906048,38.0,Non-Binary,Sales,EMEA,17,8.4,6,3.0,2,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10150,2026-07-10 21:05:07.906048,26.0,Male,Product,EMEA,50,6.3,4,4.0,3,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10151,2026-09-06 11:42:07.906048,26.0,Male,Engineering,North America,6,7.8,9,4.0,2,Great UI and clean design. Very satisfied with recent feature releases.
RESP-10152,2026-08-13 05:07:07.906048,42.0,Female,Engineering,APAC,14,9.8,9,5.0,2,
RESP-10153,2026-08-25 05:39:07.906048,31.0,Female,Sales,EMEA,68,6.4,7,3.0,4,"Features are acceptable, but pricing seems a bit high for small teams. More details at https://internal-feedback-253.org/details."
RESP-10154,2026-06-28 03:04:07.906048,27.0,Female,Product,EMEA,14,4.9,3,1.0,7,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10155,2026-08-28 21:32:07.906048,29.0,Female,Engineering,EMEA,11,8.5,6,3.0,5,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10156,2026-07-18 21:52:07.906048,42.0,Male,Customer Support,LATAM,14,3.8,3,4.0,3,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10157,2026-09-01 09:53:07.906048,29.0,Male,Marketing,North America,18,8.6,8,3.0,6,"Support is fine, but response times could be improved."
RESP-10158,2026-08-05 18:21:07.906048,34.0,Female,Engineering,APAC,24,6.5,6,3.0,5,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive. You can reach my direct desk at +1-555-01258 to discuss.
RESP-10159,2026-07-15 15:45:07.906048,36.0,Male,Marketing,North America,39,10.0,10,5.0,2,Our account manager is fantastic. Keep up the great work! More details at https://internal-feedback-259.org/details.
RESP-10160,2026-09-14 16:32:07.906048,18.0,Female,Sales,EMEA,15,8.2,8,4.0,2,The interface is standard. A few bugs here and there.
RESP-10161,2026-08-28 19:07:07.906048,21.0,Female,Customer Support,North America,41,4.3,7,4.0,2,"Support is fine, but response times could be improved."
RESP-10162,2026-09-17 15:39:07.906048,39.0,Female,Customer Support,North America,19,5.5,6,3.0,5,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10163,2026-07-23 17:50:07.906048,28.0,Female,Customer Support,EMEA,10,6.6,3,2.0,5,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10164,2026-08-18 08:53:07.906048,46.0,Female,Engineering,North America,26,8.9,10,,1,Customer support was very responsive and resolved my billing issue in 10 minutes.
RESP-10165,2026-08-14 23:36:07.906048,45.0,Male,Marketing,EMEA,31,7.2,5,2.0,7,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10166,2026-08-21 19:42:07.906048,43.0,Female,Sales,LATAM,20,7.9,8,4.0,3,The interface is standard. A few bugs here and there.
RESP-10167,2026-06-24 09:20:07.906048,54.0,Prefer not to say,Engineering,North America,2,7.5,6,3.0,5,Customer service takes 4 days to reply. We are considering switching providers.
RESP-10168,2026-07-17 04:41:07.906048,35.0,Female,Engineering,APAC,5,7.1,10,5.0,2,Customer support was very responsive and resolved my billing issue in 10 minutes.
RESP-10169,2026-09-10 18:45:07.906048,42.0,Female,Customer Support,EMEA,9,5.0,7,4.0,4,"Average experience overall. Does what it promises, nothing more, nothing less."
RESP-10170,2026-07-29 02:02:07.906048,30.0,Female,Customer Support,EMEA,8,6.8,6,2.0,5,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10171,2026-09-15 09:34:07.906048,60.0,Male,Engineering,North America,27,8.2,8,4.0,3,
RESP-10172,2026-07-10 03:45:07.906048,55.0,Female,Customer Support,North America,1,5.9,6,5.0,1,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10173,2026-09-18 17:01:07.906048,36.0,Male,Engineering,North America,34,8.9,10,4.0,3,"Fast performance, excellent reliability, and helpful documentation."
RESP-10174,2026-08-22 17:21:07.906048,39.0,Male,Customer Support,North America,8,2.4,2,3.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10175,2026-08-29 19:35:07.906048,49.0,Male,Engineering,North America,9,8.2,7,4.0,2,"The application works fine, but performance slows down occasionally during peak hours."
RESP-10176,2026-07-26 15:48:07.906048,34.0,Male,Customer Support,EMEA,19,5.8,5,3.0,6,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
